	Sample 10032	Sample 10230	Sample 10231	Sample 10444	Sample 12178	Sample 1242	Sample 13067	Sample 13225	Sample 13279	Sample 13800	Sample 13801	Sample 14457	Sample 14458	Sample 14459	Sample 15629	Sample 15630	Sample 16046	Sample 16347	Sample 16595	Sample 16596	Sample 1688	Sample 1689	Sample 17236	Sample 17753	Sample 19157	Sample 20532	Sample 20582	Sample 21198	Sample 21611	Sample 24396	Sample 25575	Sample 27550	Sample 3056	Sample 3248	Sample 3436	Sample 7460	Sample 8185	Sample 8209	Sample 8668	Sample 8669
RAF1	9.185559	8.727689	8.758092	9.488774	9.143124	9.932501	8.778352	8.878287	9.186149	9.812567	9.909075	8.713005	8.777842	8.775968	8.943292	8.732529	9.353797	9.102910	9.829492	9.926022	8.841211	9.124223	8.988684	9.210965	9.015886	9.261116	9.656193	8.983153	9.214097	9.272873	8.645283	9.572515	9.055329	8.762182	8.828137	9.088855	9.102332	9.966720	9.039662	8.933808
MTOR	6.542481	5.793204	5.994398	6.419111	5.476424	6.349754	6.122058	6.398296	6.002720	6.537713	6.348705	5.657820	5.891135	5.889558	6.609144	6.170405	5.779261	5.518326	6.469716	6.357950	6.412412	6.182714	6.249450	5.363418	5.726052	5.603059	6.112285	6.659882	6.481789	6.282660	6.471006	6.164958	6.361637	5.938560	6.513907	5.873978	5.626564	6.462111	6.379019	6.601502
NRAS	8.479927	6.792164	6.163599	9.104496	8.066221	7.438094	5.321136	9.203572	6.831555	7.290092	7.342752	6.466366	6.398849	6.208182	8.046130	8.015332	7.703532	7.643119	7.382242	7.261802	7.910425	8.536337	6.108027	7.618741	7.057016	8.737309	6.405731	8.273103	9.329392	8.345063	5.946318	8.455261	8.210432	6.421368	9.160439	6.707840	6.456491	7.311988	8.517410	8.517027
MAPK3	7.280968	7.615427	7.412873	7.558913	7.881118	7.881097	7.647456	7.613841	7.956704	7.730318	7.795108	7.381617	7.302688	7.318062	7.394627	7.113742	7.325948	7.843068	7.697662	7.706591	7.201560	7.297954	7.257826	7.722030	7.823186	7.918893	7.628586	7.238852	7.497961	7.312322	7.398922	7.116217	7.230905	7.236205	7.749309	7.623164	7.166512	7.696852	7.301883	7.111749
AKT3	6.875521	7.747412	8.077208	6.806162	6.208438	7.592179	7.820883	6.968672	7.621947	7.655988	7.756430	7.902250	8.220655	7.878808	7.190961	7.054823	8.614314	5.600603	7.714480	7.613834	7.046195	6.910826	8.047170	5.380998	6.184385	5.891943	7.292333	6.730692	6.558760	8.002234	8.530608	5.997488	6.576805	7.831974	6.973034	7.382206	7.832107	7.796306	6.798077	6.869661
SOS1	9.883375	8.191694	7.305080	8.620274	7.509243	9.860529	7.803030	8.888606	8.380508	9.906259	9.650597	8.048688	7.770483	7.386590	9.730909	10.012093	8.167840	6.543277	9.928613	9.902754	10.722629	9.850856	8.175209	6.815179	7.834496	7.092431	7.228854	10.600316	8.230724	9.934385	8.211749	8.562112	10.690813	7.535711	8.806276	8.402705	7.458635	9.947917	10.357945	10.510832
MAP2K2	6.200790	6.138341	5.908883	7.437853	5.864452	7.347115	6.633399	8.283616	7.199784	6.714963	6.844178	6.027429	5.865705	5.819738	6.337423	6.264874	6.700501	5.062046	7.023051	7.196439	6.390986	6.262011	6.907777	5.373572	5.781081	7.355697	6.429927	5.963083	7.671537	6.817132	6.043161	6.228235	6.585669	4.893111	8.247978	6.528725	5.921716	7.278999	6.072104	6.057563
PIK3CA	5.992166	6.830932	6.795203	4.744203	6.087222	6.230650	6.034309	5.303134	7.324149	6.353619	6.620579	6.821860	7.158290	7.259445	5.532428	5.338807	8.270798	6.633693	6.621320	6.548775	6.002544	5.606491	6.638578	5.828375	5.894108	6.736275	5.680217	5.845717	4.647458	6.502141	6.766189	4.875311	5.976959	7.168224	5.264409	7.194580	6.631950	6.223619	5.879108	5.566696
