	Sample 10232	Sample 10233	Sample 11633	Sample 12473	Sample 1318	Sample 13280	Sample 13567	Sample 13864	Sample 13865	Sample 13866	Sample 14930	Sample 14991	Sample 15844	Sample 16348	Sample 16465	Sample 16673	Sample 17237	Sample 18052	Sample 18638	Sample 18639	Sample 18862	Sample 19437	Sample 21907	Sample 21956	Sample 22213	Sample 22214	Sample 23607	Sample 23608	Sample 24175	Sample 24990	Sample 24991	Sample 25574	Sample 26986	Sample 27205	Sample 27802	Sample 4099	Sample 4100	Sample 4101	Sample 4102	Sample 5496	Sample 729	Sample 8302	Sample 8303	Sample 8304	Sample 8881
RAF1	8.765574	9.186176	8.528672	8.879475	9.432373	9.335036	9.394421	9.309665	9.149225	9.056343	8.951026	9.492744	8.362437	9.301825	9.504632	9.386526	8.675149	9.114415	8.864757	9.236856	9.218175	8.868282	9.325900	9.195022	9.198938	8.920999	9.331408	8.821768	8.731965	9.217892	9.913131	8.734751	8.685140	9.659702	9.356532	9.239124	9.274906	9.037491	9.172335	9.615209	9.252180	9.373456	9.054509	9.245626	8.755329
MTOR	5.905405	5.931436	6.023668	5.196160	5.692741	6.523239	5.358293	5.626508	5.615242	5.511083	5.808311	6.006644	5.978013	5.605820	6.148172	5.655017	5.858456	5.820318	5.981882	6.006824	6.377601	5.845038	5.754219	6.244374	5.888436	5.581150	5.506997	5.359105	5.865975	5.882194	6.000759	5.585633	6.021768	6.251367	5.810823	5.813669	5.812902	5.552149	5.629201	5.690666	6.204951	5.581493	5.573776	5.532339	6.054157
NRAS	6.567246	7.023110	6.736395	6.923472	8.094896	9.319412	8.120037	7.866491	8.352982	7.838420	7.316700	6.966664	6.006128	8.771545	7.142748	7.754446	6.509765	5.887041	6.793870	7.032391	8.779053	6.736141	7.527211	7.201265	7.563433	8.244794	8.066600	8.193423	6.987816	8.818404	7.779476	6.459646	6.306725	8.558129	7.996192	8.574647	7.749035	7.664266	8.519783	8.042650	8.252548	8.128518	7.885056	7.588524	6.438187
MAPK3	7.203706	7.276774	7.379566	8.150000	7.306234	7.241889	7.614832	6.936313	7.115508	7.521064	7.559605	7.388001	7.503677	7.595654	8.018012	7.487319	7.364979	7.768620	7.160153	7.521438	7.322644	7.012266	7.502401	7.153011	7.519943	7.028300	7.624604	7.157400	7.297748	7.404417	7.239480	7.306539	7.260368	7.033314	7.668449	7.393119	7.650741	7.719217	6.693438	7.430553	7.413947	7.502046	7.347725	7.470527	7.368247
AKT3	8.072240	7.323291	7.794580	6.354793	6.033745	7.067234	5.082748	5.479694	5.721086	5.939250	6.109536	7.576909	8.103747	6.123488	6.806483	5.986995	7.966775	7.193607	7.890412	7.353372	7.441682	7.319456	5.786289	6.088739	6.271562	6.021505	6.210410	6.232597	7.505092	6.226019	8.024884	7.490786	7.878943	8.022777	5.195390	6.334840	5.906570	5.981342	6.652425	6.103893	8.088852	6.383452	5.939988	6.119103	7.521074
SOS1	7.849193	8.594868	7.923653	9.133390	10.131202	8.808642	6.788772	9.605387	9.822795	9.444044	8.317477	8.067100	8.170146	7.516219	8.054604	9.664345	7.547554	7.389747	7.999201	8.426780	8.999511	7.708701	7.408409	7.937288	9.783204	10.209853	9.883195	9.379776	8.245330	10.336438	8.179889	7.375711	8.005386	8.474446	9.752261	10.352888	9.551401	9.878600	10.045259	9.646474	8.216168	9.297978	10.163264	9.517223	7.850322
MAP2K2	6.116998	6.477937	6.557955	7.058344	6.794898	7.403459	5.777622	5.986900	6.997433	7.242761	6.792111	6.508494	6.419725	7.116124	8.090099	6.298706	5.256106	6.604525	6.148311	6.395334	7.276808	5.893104	6.526347	6.366363	6.279220	6.534202	6.939612	6.809605	6.459733	6.683815	6.450204	6.285744	6.738230	7.234099	6.416652	6.918004	7.018424	7.034378	6.015540	6.521040	7.414008	7.033488	6.709415	6.990501	5.489616
PIK3CA	7.027846	6.974654	6.253441	5.114402	5.010376	4.892410	6.459443	4.862689	5.231613	4.783956	6.146763	6.642544	6.473622	6.342853	7.195513	4.930233	6.823371	5.465436	6.656072	6.929045	6.694099	6.078359	6.499484	5.079176	4.461864	5.238293	4.888890	5.413467	6.636970	5.546474	6.878499	6.101159	6.407194	7.994994	4.502681	5.128547	4.719748	4.923259	5.571593	4.924648	7.560800	5.040054	5.185898	4.977849	6.384377
