	Sample 10031	Sample 1152	Sample 1153	Sample 12314	Sample 13721	Sample 16039	Sample 16040	Sample 1686	Sample 17887	Sample 17888	Sample 19282	Sample 19802	Sample 19803	Sample 22042	Sample 22043	Sample 22044	Sample 23452	Sample 24807	Sample 24808	Sample 2539	Sample 26249	Sample 26250	Sample 26251	Sample 26783	Sample 27628	Sample 3942	Sample 4474	Sample 4483	Sample 714	Sample 7672	Sample 8664	Sample 9508
RAF1	10.560044	10.949604	11.061200	10.600400	11.760906	10.915840	11.190431	10.563128	11.812597	10.875792	11.444516	10.399428	11.007450	11.342469	11.586302	11.145211	10.939304	11.678350	11.338461	10.925215	11.634938	11.216493	10.290417	10.889799	11.276350	11.278223	10.958965	10.965398	11.047961	11.118741	10.524357	11.242682
MTOR	5.555597	5.746163	5.625706	5.381067	5.989865	5.082648	5.447713	5.440553	5.365367	5.139964	5.716166	5.689164	5.204320	5.354384	5.496707	5.280888	5.129862	5.211303	4.948772	5.261256	5.255766	5.205925	5.491020	5.126400	5.347519	5.690265	5.315547	5.271826	5.433476	5.336311	5.162100	5.598912
NRAS	7.211882	7.647621	7.245194	7.325722	6.992383	6.135664	6.778528	6.993282	6.311681	6.284196	7.285606	7.640155	6.432942	6.561210	6.541764	7.050022	7.460172	6.945201	7.154563	7.349896	6.745534	7.010862	7.542574	6.772988	6.954543	7.412376	7.001692	6.644883	7.386277	7.051299	6.997808	7.418717
MAPK3	8.299362	8.654573	8.531783	8.570912	9.307520	8.757485	9.072212	8.253588	8.995940	8.878757	9.210538	8.135238	8.440562	9.131516	8.960980	9.083058	9.052558	8.959976	8.736586	8.238742	8.874838	9.405706	8.222626	8.159152	8.839305	8.566687	8.529450	8.406258	8.619178	8.780585	8.381907	8.518217
AKT3	6.243466	6.199189	6.522967	5.818571	5.692296	5.827090	5.506732	6.568640	5.916475	5.593325	5.652696	5.720869	5.904827	5.850673	5.523211	5.059498	6.115993	5.774457	5.924183	6.649254	6.005644	5.563028	6.532139	6.315200	5.067814	6.655408	5.352617	5.930724	5.702957	5.566371	5.983869	6.293792
SOS1	8.932191	7.994712	7.894219	7.384977	7.866642	7.185018	7.673952	8.457572	7.785884	7.068712	7.948230	8.548171	8.790576	7.367831	7.572237	7.946816	7.494293	8.129416	7.292592	7.944501	7.840211	7.543456	7.872063	8.483058	7.823107	8.384283	7.914970	8.566912	7.428770	7.650617	8.682021	8.065545
MAP2K2	5.559442	7.488850	7.529777	7.654750	7.931975	7.425218	8.222277	5.404904	7.901882	7.774312	7.869613	5.364760	6.006150	7.702614	7.655685	7.935566	7.768451	7.974254	7.648523	7.652066	7.873009	7.793689	7.531521	5.313726	7.814416	7.687549	7.563216	5.248390	7.764020	7.802278	5.440470	7.710025
PIK3CA	7.963162	6.425676	6.234232	6.460478	6.695961	6.198239	6.199107	7.426090	6.861684	6.028996	6.596679	7.291424	7.719340	6.325658	6.116128	6.305088	6.071268	6.610572	6.247201	6.506443	6.949387	5.973559	6.962100	6.722785	6.316577	6.894464	7.065987	6.752427	6.482393	6.500549	7.476047	6.728244
