	Sample 10830	Sample 11442	Sample 12344	Sample 12864	Sample 13604	Sample 13606	Sample 13665	Sample 13829	Sample 14235	Sample 14236	Sample 15626	Sample 15627	Sample 15997	Sample 18002	Sample 19180	Sample 20594	Sample 20618	Sample 21064	Sample 21195	Sample 21527	Sample 21784	Sample 21984	Sample 22445	Sample 23357	Sample 23402	Sample 23403	Sample 23831	Sample 23872	Sample 23967	Sample 24352	Sample 2440	Sample 2442	Sample 24710	Sample 25360	Sample 3053	Sample 3054	Sample 3838	Sample 3885	Sample 3886	Sample 5440	Sample 5859	Sample 6667	Sample 677	Sample 8663	Sample 9901
RAF1	9.032951	9.062913	8.789342	8.938906	8.472236	8.237469	9.091613	9.558569	9.538006	9.133486	8.976539	9.445300	8.596917	9.380126	8.354830	9.753355	9.136145	9.662413	8.733450	9.909311	9.694666	9.120527	9.335266	8.300958	9.060793	8.961260	9.321480	9.583509	8.881921	9.380190	8.375323	8.474426	7.823148	8.841732	9.068166	8.837858	8.127014	9.540783	9.011401	9.340290	9.020514	9.825023	9.307654	8.942882	9.270100
MTOR	5.796414	6.004311	5.630675	5.903663	5.332138	5.123029	5.925731	6.123215	5.586314	5.808268	5.902791	5.763007	5.819822	5.641466	5.064684	5.801367	6.004798	6.226826	5.620648	5.314450	6.155765	5.885571	6.000114	5.076425	5.820066	5.807003	5.667484	5.392997	5.749757	5.912744	5.388962	5.049968	5.184278	5.916608	5.940157	5.761006	5.160306	6.326619	5.802096	5.353928	5.990983	5.745160	5.608809	6.018170	6.381579
NRAS	8.778348	8.437119	8.759424	8.323857	6.985463	6.397461	8.795575	8.998106	8.471015	8.443214	8.154951	8.518664	8.216973	8.117161	7.059511	8.143283	8.767651	9.238050	7.702613	7.882501	7.705500	8.629611	9.155993	7.158232	8.857037	8.772860	9.334304	7.921845	8.217706	8.405465	6.629582	7.279217	6.225317	8.651006	8.465849	8.221939	7.097604	7.783476	8.859536	8.168967	8.635187	8.365742	8.043895	8.722700	9.726214
MAPK3	7.807122	7.721994	8.041149	7.659057	7.792129	7.821497	7.731308	8.151286	7.897845	7.697910	7.686694	7.635083	7.899166	7.780586	7.639590	7.648234	7.951281	7.698265	8.105289	8.656931	7.803907	7.690024	8.250824	7.960931	7.785061	7.680443	7.949345	8.607576	7.557213	8.028383	7.776443	7.977432	7.600313	7.426805	7.573761	7.951936	7.510892	8.092268	7.665255	7.964154	7.786518	7.699080	8.022451	7.685211	7.335479
AKT3	7.988650	7.761938	7.355761	7.259726	5.635315	5.469588	8.128316	6.742631	7.150414	7.431450	7.287201	7.533998	7.617904	6.117979	5.178359	7.941803	7.993106	5.609106	7.468362	5.846579	6.624297	7.994316	6.835535	5.362985	8.098220	7.773721	6.456386	6.112767	6.963296	6.771812	5.886193	5.396821	5.829795	7.097863	7.103727	7.653776	5.425572	8.128480	7.965887	6.008956	7.451689	7.766035	6.959640	7.341641	4.942776
SOS1	7.826451	8.683401	7.133217	8.500648	6.170065	6.449922	7.955488	7.204010	8.598515	8.407887	8.599741	8.605306	8.228241	7.351857	6.700847	6.596865	7.996441	7.574864	8.520031	6.688988	8.184781	8.091354	7.897976	6.615328	8.052628	7.651292	7.828728	7.695740	8.200107	7.518199	6.620895	6.315762	6.461860	8.508713	8.829463	8.709005	6.572808	8.017030	7.876557	7.828941	8.454997	7.044822	7.885130	8.564062	7.902002
MAP2K2	6.239516	5.441489	7.436221	5.250137	5.979715	6.291274	5.952670	7.952106	5.047722	5.777232	5.312113	5.757568	7.309605	6.932993	6.184733	6.680246	6.074464	7.170182	5.627206	6.879108	7.374396	6.039757	7.111653	6.259011	5.965775	6.057210	7.527403	7.657639	5.024741	6.645214	6.369770	6.397046	5.744927	5.020388	5.508810	5.381124	5.485232	6.524703	5.997098	6.909276	5.447015	6.802335	6.761772	5.752278	6.846534
PIK3CA	6.292189	6.060067	5.453318	6.981278	5.224670	4.898116	6.117812	5.283761	6.504528	6.303421	5.674984	6.650654	6.209094	4.981558	4.995520	5.376645	6.188227	5.587839	5.922494	5.386965	6.269093	6.149191	5.754368	4.866935	6.499305	6.078521	5.737511	6.043978	6.476239	5.913782	5.346470	4.659063	4.897914	6.805605	6.443049	6.249962	5.066099	6.482366	6.361521	5.219091	6.647567	5.504742	6.122716	6.448959	5.926648
