lhs op rhs est
135 snp15 ~~ snp71 0.0631310655818057
136 snp15 ~~ snp75 -0.0624938731496912
137 snp15 ~~ snp81 -0.0701891971375355
138 snp15 ~~ snp82 0.294064307420841
139 snp15 ~~ snp84 -0.106656210175473
140 snp15 ~~ snp85 -0.136873835898441
141 snp15 ~~ snp_FloCol_1 -0.077051269483384
142 snp15 ~~ snp_FlowStemCol_2 0.0589893147730615
143 snp15 ~~ snp_NoPodsWeight_1 -0.131678266836585
144 snp15 ~~ snp_PodS_1 -0.0376923830996961
145 snp21 ~~ snp21 0.373541809626507
146 snp21 ~~ snp25 -0.379227526713067
147 snp21 ~~ snp54 -0.0712675227918831
148 snp21 ~~ snp55 0.0327663954514263
149 snp21 ~~ snp71 0.0142878149201059
150 snp21 ~~ snp75 -0.107955102440937
151 snp21 ~~ snp81 0.107415939613763
152 snp21 ~~ snp82 -0.0418096265072052
153 snp21 ~~ snp84 -0.135893539849034
154 snp21 ~~ snp85 0.0338202137045388
155 snp21 ~~ snp_FloCol_1 0.10128908930497
156 snp21 ~~ snp_FlowStemCol_2 0.0216400352906578
157 snp21 ~~ snp_NoPodsWeight_1 0.14383393784923
158 snp21 ~~ snp_PodS_1 0.0482060582295853
159 snp25 ~~ snp25 0.778502107636506
160 snp25 ~~ snp54 0.102686011175375
161 snp25 ~~ snp55 -0.033281050877365
162 snp25 ~~ snp71 0.0143613371238114
163 snp25 ~~ snp75 0.143319282423292
164 snp25 ~~ snp81 -0.113224193706499
165 snp25 ~~ snp82 0.0938633467307127
166 snp25 ~~ snp84 0.182089991177336
167 snp25 ~~ snp85 -0.0448485442603666
168 snp25 ~~ snp_FloCol_1 -0.125870012743849
169 snp25 ~~ snp_FlowStemCol_2 -0.017988432506617
170 snp25 ~~ snp_NoPodsWeight_1 -0.218017841388099
171 snp25 ~~ snp_PodS_1 -0.0517106166062151
172 snp54 ~~ snp54 0.679492206646407
173 snp54 ~~ snp55 0.0382315459268699
174 snp54 ~~ snp71 -0.00941084207430644
175 snp54 ~~ snp75 0.0868787373786884
176 snp54 ~~ snp81 -0.0278649152043917
177 snp54 ~~ snp82 0.0546515047544358
178 snp54 ~~ snp84 0.149593177139496
179 snp54 ~~ snp85 0.0349475541613567
180 snp54 ~~ snp_FloCol_1 -0.0424468189393197
181 snp54 ~~ snp_FlowStemCol_2 0.0278894226056269
182 snp54 ~~ snp_NoPodsWeight_1 -0.153269287324772
183 snp54 ~~ snp_PodS_1 0.00715616116067052
184 snp55 ~~ snp55 0.733580041172434
185 snp55 ~~ snp71 -0.0706915988628566
186 snp55 ~~ snp75 0.10017400254877
187 snp55 ~~ snp81 0.0873198706009215
188 snp55 ~~ snp82 -0.187187530634252
189 snp55 ~~ snp84 0.151161650818547
190 snp55 ~~ snp85 0.717981080286246
191 snp55 ~~ snp_FloCol_1 0.0793182040976375
192 snp55 ~~ snp_FlowStemCol_2 0.00871238113910401
193 snp55 ~~ snp_NoPodsWeight_1 0.0925154396627782
194 snp55 ~~ snp_PodS_1 0.0253283991765513
195 snp71 ~~ snp71 0.215487452210568
196 snp71 ~~ snp75 -0.0225161748848152
197 snp71 ~~ snp81 0.0430717576708166
198 snp71 ~~ snp82 0.106987060092148
199 snp71 ~~ snp84 -0.0384276051367513
200 snp71 ~~ snp85 -0.067242182139006
201 snp71 ~~ snp_FloCol_1 0.0118064405450446
202 snp71 ~~ snp_FlowStemCol_2 -0.0153109989216743
203 snp71 ~~ snp_NoPodsWeight_1 -0.0650426428781492
204 snp71 ~~ snp_PodS_1 -0.02071488089403
205 snp75 ~~ snp75 0.329397853151652
206 snp75 ~~ snp81 -0.122647289481423
207 snp75 ~~ snp82 -0.120392608567787
208 snp75 ~~ snp84 0.270390157827664
209 snp75 ~~ snp85 0.0978764336829722
210 snp75 ~~ snp_FloCol_1 -0.110742819331438
211 snp75 ~~ snp_FlowStemCol_2 -0.0234352024311342
212 snp75 ~~ snp_NoPodsWeight_1 -0.19836290559749
213 snp75 ~~ snp_PodS_1 -0.00695397510048035
214 snp81 ~~ snp81 0.911209685324968
215 snp81 ~~ snp82 -0.0124742672287031
216 snp81 ~~ snp84 -0.109450053916283
217 snp81 ~~ snp85 0.0951499852955593
218 snp81 ~~ snp_FloCol_1 -0.145855798451132
219 snp81 ~~ snp_FlowStemCol_2 -0.0176575825899422
220 snp81 ~~ snp_NoPodsWeight_1 0.289505930791099
221 snp81 ~~ snp_PodS_1 0.121421919419665
222 snp82 ~~ snp82 0.807151259680423
223 snp82 ~~ snp84 -0.175767081658661
224 snp82 ~~ snp85 -0.185312714439761
225 snp82 ~~ snp_FloCol_1 -0.124485344574061
226 snp82 ~~ snp_FlowStemCol_2 0.0369449073620233
227 snp82 ~~ snp_NoPodsWeight_1 -0.123541809626507
228 snp82 ~~ snp_PodS_1 -0.0761077345358298
229 snp84 ~~ snp84 0.513479070679345
230 snp84 ~~ snp85 0.157141456719929
231 snp84 ~~ snp_FloCol_1 -0.149397117929615
232 snp84 ~~ snp_FlowStemCol_2 -0.0399960788158024
233 snp84 ~~ snp_NoPodsWeight_1 -0.23517302225272
234 snp84 ~~ snp_PodS_1 -0.0244093716302323
235 snp85 ~~ snp85 0.759159641211646
236 snp85 ~~ snp_FloCol_1 0.0719353494755416
237 snp85 ~~ snp_FlowStemCol_2 0.0170510244093716
238 snp85 ~~ snp_NoPodsWeight_1 0.0931526320948926
239 snp85 ~~ snp_PodS_1 0.0157888932457602
240 snp_FloCol_1 ~~ snp_FloCol_1 0.770384030977355
241 snp_FloCol_1 ~~ snp_FlowStemCol_2 0.0979622095872954
242 snp_FloCol_1 ~~ snp_NoPodsWeight_1 0.178732477208117
243 snp_FloCol_1 ~~ snp_PodS_1 0.0268294775022057
244 snp_FlowStemCol_2 ~~ snp_FlowStemCol_2 0.234064062346829
245 snp_FlowStemCol_2 ~~ snp_NoPodsWeight_1 -0.0459758847171846
246 snp_FlowStemCol_2 ~~ snp_PodS_1 0.00814258406038624
247 snp_NoPodsWeight_1 ~~ snp_NoPodsWeight_1 0.948240368591315
248 snp_NoPodsWeight_1 ~~ snp_PodS_1 0.115723948632487
249 snp_PodS_1 ~~ snp_PodS_1 0.309938976570924
