	Germ	GBegF	BegFEndF	EndFBegM	BegMEndM	FloCol	StemCol	BushShape	LeafSize	FlowStemCol	AscoRes	StemBr	StemL1ord	StemBr1ord	StemBr2ord	PodD	PodS	Height	Hlp	NoPodsWeight	PodsWeight	PodsNumber	SeedsNumber	SeedsWeight	PodShape	PodLength	PodWidth	SeedShape	SeedCol	Seed1000W
VIR0300	8	35	17	24	9	3	7	3	3	7	3	7	5	1	5	1	2	40	16	6.7	22.9	89	90	15.8	7	17	7	5	10	155
VIR0301	8	36	18	22	9	3	7	5	3	7	3	7	5	1	5	1	2	36	17	3.7	8.6	40	44	6.8	7	17	9	3	10	160
VIR0302	8	39	22	18	11	1	3	5	5	3	7	9	5	1	5	1	2	43	19	8.4	26.4	118	124	16.1	7	20	10	5	1	155
VIR0303	8	42	21	16	11	1	3	3	5	3	9	9	5	1	7	1	2	53	19	41.2	28.3	73	68	22.4	7	23	12	3	1	295
VIR0306	8	39	14	23	12	1	3	5	3	3	7	7	3	1	7	2	2	42	19	5	12.5	64	60	9.3	7	16	7	5	1	145
VIR0308	8	39	16	22	14	1	3	3	3	3	7	7	3	1	7	2	2	43	22	7.7	10.2	40	55	7.6	7	20	10	3	1	145
VIR0312	8	37	15	25	14	1	3	3	3	3	7	9	3	7	5	1	1	47	19	5	15.3	62	67	11	7	20	10	3	10	160
VIR0313	8	39	13	26	15	7	3	3	3	7	5	9	3	1	5	1	1	40	17	6.8	15.4	70	74	7.8	7	18	8	3	10	115
VIR0314	8	37	16	24	17	3	7	3	3	7	3	9	3	7	5	1	2	35	13	2.6	6.7	36	36	4.6	7	18	9	3	10	140
VIR0315	8	39	14	24	17	3	7	5	3	7	3	9	3	1	5	1	2	31	19	1.5	3.8	25	27	2.5	7	15	8	3	10	115
VIR0325	8	41	12	25	14	2	3	3	5	3	9	9	3	1	5	1	2	60	20	32.7	64.3	143	180	43.8	7	25	12	3	11	270
VIR0328	9	26	6	25	14	1	3	3	3	3	7	5	5	1	5	2	2	52	26	7.7	11.4	48	47	7.9	7	22	10	3	1	225
VIR0336	8	40	13	26	15	2	3	3	7	3	5	9	5	7	5	2	2	65	21	29.6	24.7	105	64	19.7	7	21	12	3	11	325
VIR0340	8	39	16	23	12	1	3	3	5	3	9	7	5	7	5	2	1	60	21	23.2	55.3	121	122	39.2	7	23	12	5	1	310
VT0003_0344	8	38	26	18	17	1	3	3	5	3	7	9	5	1	7	1	2	52	13	32.7	42.2	123	145	21.9	7	21	11	5	1	222
VIR0345	8	39	14	26	12	2	3	3	5	3	9	7	5	7	5	2	2	60	17	20.8	37.4	90	79	19.5	7	20	10	3	11	280
VT0005_0347	8	39	14	28	15	2	3	3	5	3	9	9	5	1	5	2	2	53	14	47.1	87	167	131	29.2	7	25	13	3	11	278
VT0006_0348	11	47	16	15	17	1	3	3	5	3	7	9	3	7	7	1	1	30	14	16.1	12.4	14	12	2.3	7	20	12	5	1	240
VT0007_0349	8	39	25	17	15	2	3	3	5	3	5	9	5	1	1	2	2	56	21	40.3	90.4	216	211	49.8	7	21	11	3	11	250
VT0008_0349	13	42	19	14	15	2	3	3	5	3	9	9	5	1	5	2	2	50	24	20.3	63.8	146	64	14.4	7	22	12	3	11	225
VT0009_0350	8	38	26	17	19	3	3	3	5	3	5	7	5	1	5	2	2	55	15	30.1	24.9	73	85	16.7	7	17	8	3	10	200
VT0010_0351	8	38	22	22	14	2	3	3	5	3	5	9	5	1	5	2	2	60	18	46.3	52.8	105	85	29.5	7	23	11	5	11	365
VT0011_0352	8	41	23	18	18	2	3	3	5	3	9	9	5	1	5	1	2	63	30	43.1	36.4	83	78	23.5	7	22	10	3	11	305
VT0012_0353	10	37	13	22	7	2	5	1	5	7	7	9	5	1	7	1	1	46	16	22.2	52.3	115	116	29.2	7	21	11	3	11	215
VT0013_0354	10	37	14	27	18	3	5	3	5	7	7	9	5	1	5	1	1	56	20	39.1	49.2	136	133	26.4	7	18	8	3	10	210
VT0014_0355	10	36	32	12	19	2	3	3	5	3	9	7	3	1	5	1	1	51	19	43.3	70.6	198	188	36.6	7	20	10	5	2	205
VT0015_0356	8	36	16	29	15	3	3	3	5	3	5	7	5	1	5	2	2	52	21	22.5	25.2	56	49	11.6	7	22	10	3	10	205
VIR0359	8	38	15	26	15	1	3	3	5	3	9	9	5	1	5	2	2	55	20	15.6	21.2	53	50	12.9	7	21	10	7	1	240
VIR0360	8	39	14	26	15	2	3	3	5	3	7	9	5	7	5	2	2	55	28	19.2	12.5	46	51	13.1	7	21	11	3	11	265
VT0018_0361	8	39	13	28	17	2	3	5	5	3	9	9	5	3	5	2	2	60	26	20.2	32.7	66	71	18.4	7	22	11	5	10	210
VT0019_0362	8	39	14	27	13	1	3	5	7	3	7	7	5	1	5	2	2	63	30	37.3	30.1	65	48	22.2	5	26	13	3	1	315
VIR0363	8	39	15	24	13	2	3	5	3	3	9	9	5	7	5	1	2	56	30	21.8	22.8	87	78	20.1	7	21	11	5	10	240
VT0020_0364	8	37	16	28	14	2	3	3	5	3	5	7	5	1	5	1	2	57	25	26.8	33.6	77	76	19.5	7	24	10	3	11	230
VT0021_0365	8	39	14	28	17	1	3	3	5	3	9	9	5	1	5	1	2	55	19	48	60.3	106	92	18.4	7	23	11	5	1	205
VIR0370	8	39	14	25	14	3	7	5	5	7	9	9	5	1	5	2	2	56	26	7.8	18.6	53	58	11.6	7	20	10	3	10	245
VIR0371	8	39	13	26	12	2	3	5	5	3	9	9	5	7	5	2	1	55	20	8	27.9	83	108	20.7	7	25	12	3	11	200
VIR0372	8	38	14	25	13	1	3	5	5	3	9	9	5	7	5	2	1	60	23	20.5	25	85	55	19.4	7	21	10	3	1	210
