	Germ	GBegF	BegFEndF	EndFBegM	BegMEndM	FloCol	StemCol	BushShape	LeafSize	FlowStemCol	AscoRes	StemBr	StemL1ord	StemBr1ord	StemBr2ord	PodD	PodS	Height	Hlp	NoPodsWeight	PodsWeight	PodsNumber	SeedsNumber	SeedsWeight	PodShape	PodLength	PodWidth	SeedShape	SeedCol	Seed1000W
VIR0735	8	34	19	27	13	3	5	5	3	7	7	7	5	7	7	2	1	45	17	4.3	7.6	36	49	4.9	7	20	8	3	12	155
VIR0736	7	35	19	27	13	3	7	5	3	7	9	9	5	7	7	2	1	55	18	6.6	15.8	83	100	10.9	7	19	9	3	10	145
VIR0737	8	34	18	27	15	3	5	3	3	7	7	7	3	7	5	2	1	45	17	3.8	13.1	67	64	8.3	7	18	9	3	13	150
VIR0738	8	39	16	25	18	3	3	5	5	3	5	7	3	7	5	2	2	60	27	11.7	12	38	22	5.3	7	25	11	3	11	225
VIR0742	7	35	19	27	13	3	7	5	5	7	9	7	3	7	5	2	2	50	19	5	11.7	47	56	7.7	7	18	8	3	10	170
VE0131_0744	8	35	18	26	14	3	5	5	3	7	7	9	3	7	7	1	1	50	13	8.3	28.5	111	148	19.2	7	18	7	3	10	125
VE0132_0745	8	32	21	22	14	3	5	5	5	7	5	9	3	7	7	2	2	55	22	9	9.3	41	40	6.3	7	19	10	3	12	190
VE0133_0746	8	47	10	25	18	3	5	5	3	7	5	9	3	7	7	1	1	50	19	18.1	22.3	101	87	10	7	18	9	3	11	150
VE0134_0747	7	34	20	24	12	3	7	5	3	7	5	7	5	7	5	1	1	40	17	4.6	4.9	30	29	3.9	7	17	7	3	10	110
VE0135_0748	7	34	19	26	13	3	7	5	5	7	5	5	3	5	5	1	1	50	25	7.5	14.4	47	62	7.9	7	20	10	3	12	140
VE0136_0749	7	36	18	25	13	3	7	5	5	7	7	7	5	5	5	1	2	53	27	6.1	12.7	49	55	8.8	7	20	10	3	10	170
VE0137_0754	7	39	22	21	15	3	5	5	5	7	7	7	5	5	5	2	2	55	27	8.7	9.3	38	54	9.3	7	20	8	3	10	170
VE0139_0756	7	36	18	26	13	3	5	5	5	7	7	9	5	7	7	1	1	56	26	9.4	14.9	60	69	10.2	7	18	8	3	13	165
VE0140_0757	7	33	21	23	13	3	7	5	5	7	5	9	5	7	7	1	1	56	25	3.6	6.8	26	28	3.5	7	19	9	3	13	110
VE0141_0758	7	37	17	23	12	3	7	5	5	7	5	7	5	7	7	1	1	66	39	10.8	13.2	52	62	9.1	7	20	10	3	13	175
VE0142_0760	7	38	16	22	12	3	7	5	5	7	5	7	5	7	7	1	1	60	32	7	4	29	30	4.4	7	20	9	3	10	160
VE0143_0761	7	36	18	17	16	3	7	5	5	7	9	7	5	7	7	1	1	50	27	6.2	7.2	37	31	5.7	7	19	9	3	10	190
VE0144_0762	8	37	18	26	13	3	5	3	3	7	5	7	5	7	7	2	2	50	20	8.4	12.8	56	76	9.4	7	20	8	3	10	150
VE0145_0763	8	35	18	22	12	3	5	5	3	7	9	9	5	7	7	1	2	53	23	9.8	17.7	82	51	12.1	7	19	8	3	10	140
VE0146_0764	8	33	19	26	13	3	5	3	5	7	7	9	3	7	5	1	2	60	23	9.6	19	78	98	13.2	7	20	10	3	10	140
VIR0765	8	35	17	26	13	3	7	5	5	7	9	9	3	7	5	2	2	55	17	5.7	11.7	55	49	7.3	7	18	8	3	11	145
VE0147_0766	7	36	17	22	7	3	5	3	3	7	5	3	3	1	5	2	1	55	29	7.1	8.2	46	42	4.6	7	18	8	3	10	155
VE0148_0767	7	36	17	22	7	3	5	5	5	7	7	3	3	1	5	1	1	56	27	9.7	23.5	92	116	14.7	7	20	9	3	10	155
VE0149_0768	8	33	19	22	7	3	7	3	5	7	5	9	7	7	7	2	1	48	20	8.7	15.8	71	118	12.5	7	19	8	3	14	145
VE0150_0769	7	35	19	20	7	3	7	3	3	7	7	9	3	7	5	1	2	40	20	6.9	4.8	27	28	3.6	7	18	8	3	10	150
VE0151_0771	7	35	19	22	10	3	7	3	3	7	7	9	5	7	5	1	2	53	21	17.6	7.1	124	170	29.6	7	19	9	3	10	190
VE0152_0772	7	33	21	22	10	3	7	3	5	7	7	9	3	7	5	2	1	46	20	6.8	13.9	55	65	9	7	17	9	3	13	175
VIR0773	8	39	21	21	11	3	7	7	3	3	7	9	5	1	5	1	1	40	21	4.3	4.6	38	30	2.7	7	15	6	3	10	115
VIR0774	8	39	14	28	17	1	3	3	7	3	9	9	5	1	5	2	1	60	27	10.4	9.9	26	15	4.7	7	25	12	5	1	415
VIR0776	8	40	12	30	19	1	3	3	5	3	9	9	5	1	5	2	1	63	27	19.7	10.4	23	17	7.4	5	26	15	5	1	415
VIR0787	8	43	24	11	16	3	5	5	5	7	9	9	5	1	5	2	2	56	30	9.3	2	10	11	3	7	20	11	7	12	290
VT0039_0793	8	39	14	27	15	3	3	5	5	3	9	7	7	7	7	1	2	52	20	45.6	82.3	167	176	46.8	7	22	10	3	11	250
VIR0794	8	42	21	19	20	1	3	3	5	3	9	9	5	7	7	2	2	60	30	13.8	12.6	21	16	7.8	5	24	13	3	1	445
VIR0795	8	41	22	16	17	3	3	5	3	7	9	9	3	1	5	1	2	53	26	8.7	10.8	36	28	7	7	22	11	3	11	225
VIR0796	8	39	21	22	12	3	3	5	3	3	3	9	3	7	5	1	1	50	25	10.7	10.3	43	39	6.7	7	20	9	3	11	220
VIR0797	8	37	23	22	14	1	3	5	3	3	3	9	3	1	5	2	2	50	22	8.4	6.6	37	27	3.7	7	16	6	5	1	160
VIR0798	8	43	24	14	13	1	3	5	5	3	9	9	3	1	5	2	2	53	33	17.6	19.3	50	32	11.3	7	27	10	5	1	400
VIR0799	8	39	28	16	15	1	3	3	5	3	3	9	3	1	5	2	2	50	20	7.2	8.3	25	22	6	5	25	12	5	1	150
VIR0802	8	39	28	19	14	3	3	3	3	3	3	9	3	1	5	1	1	55	21	16.1	26	71	59	16.3	7	24	10	7	12	205
VIR0804	9	47	19	20	16	1	3	3	5	3	3	9	3	1	5	2	1	60	19	32	43.4	59	34	11.9	7	27	12	5	1	330
VIR0807	8	38	17	25	14	1	3	5	3	3	3	9	3	1	5	2	2	45	21	8	14.8	54	40	9.3	7	20	8	5	1	190
VIR0810	8	35	20	18	10	1	3	3	5	3	5	7	3	1	5	2	1	45	27	3.5	3.4	15	14	1.9	7	20	10	5	2	135
VIR0813	8	37	18	5	37	1	3	5	5	3	3	9	5	7	5	1	2	55	22	8.9	9.5	47	43	5.7	7	20	9	3	1	95
VIR0815	8	38	22	22	16	1	3	5	5	3	5	9	5	7	5	2	1	63	26	9.3	10	28	14	2.4	7	19	10	3	1	125
VIR0816	8	36	24	22	16	1	3	5	5	3	5	9	5	7	5	2	1	53	20	9.1	15.6	68	56	6.7	7	20	10	3	1	140
VIR0833	8	41	20	22	17	3	3	3	3	7	5	9	5	7	7	2	1	50	26	12	9	46	35	5.2	7	22	10	3	14	150
VIR0850	8	39	16	27	12	1	3	3	5	3	5	9	3	7	7	2	2	50	22	13	12.4	36	17	6.4	7	26	11	5	1	190
VIR0851	8	39	21	22	15	3	5	5	5	7	5	9	3	7	5	2	2	53	20	12.9	25.7	97	94	15.9	7	22	8	3	10	190
VIR0853	8	39	21	21	14	1	3	3	5	3	3	9	3	7	5	2	2	56	26	9.6	15.4	44	28	8.7	7	22	10	5	1	190
VIR0855	8	40	29	14	17	1	3	3	5	3	5	9	3	7	5	2	1	50	30	14	12.3	28	10	3.2	5	25	13	5	1	280
VT0040_0856	9	38	16	24	12	3	5	5	5	7	5	9	7	1	5	2	2	50	20	23.8	18.4	69	49	12.2	7	22	12	3	11	305
VT0041_0857	8	39	14	28	15	1	3	7	5	3	9	5	7	1	5	1	2	60	30	28.3	32	55	44	20.5	5	30	13	5	1	350
VIR0860	8	39	22	23	14	2	3	5	5	3	7	9	3	7	5	2	1	50	24	13.3	13	31	24	4.4	7	23	10	3	11	220
VIR0862	8	39	21	21	18	1	3	5	5	3	3	9	3	7	5	2	1	55	30	9.1	5.4	16	4	0.8	5	27	13	3	1	240
VT0044_0863	8	39	14	30	18	1	3	5	5	3	5	7	3	7	7	1	2	60	21	26.7	26.1	107	80	10.5	7	20	12	5	1	160
VT0045_0865	8	39	27	17	19	3	3	5	3	7	3	7	3	7	7	1	1	55	25	26.5	21	76	48	13.5	5	23	13	5	1	265
VT0046_0866	8	37	16	29	14	1	3	5	5	3	3	9	3	7	5	2	1	55	22	25.8	15.8	58	25	6.1	5	24	13	5	1	230
VT0047_0868	8	37	16	29	14	1	3	3	5	3	3	9	3	7	5	2	1	50	17	27.2	21.8	85	92	12.3	5	23	13	5	1	210
VT0048_0871	8	39	13	30	16	1	3	3	7	3	3	9	3	1	5	2	1	56	20	24.2	10.1	21	14	3	5	30	15	3	10	265
VT0049_0872	8	39	14	28	16	3	3	5	5	3	3	3	5	7	5	2	2	57	23	20.1	23.4	69	57	11	7	20	9	3	11	215
VT0050_0874	8	39	39	9	16	2	3	3	5	3	3	3	5	7	7	1	1	55	17	30.6	21.3	49	44	6.5	5	25	13	3	11	180
VIR0876	8	40	15	25	12	2	3	3	3	3	3	9	3	1	5	1	1	43	30	2.5	2.1	12	8	1.3	7	20	11	3	11	165
VIR0880	8	39	16	25	16	3	3	3	3	3	3	9	5	7	7	1	1	50	26	5.5	2.3	12	8	1.2	7	22	12	3	10	200
VIR0881	8	39	21	21	17	2	3	5	5	3	5	9	5	7	7	2	1	60	22	13	8	28	14	4	7	25	12	5	10	280
VT0051_0882	8	39	13	28	15	1	3	5	5	3	3	7	5	1	5	2	1	50	23	12.1	15.2	33	17	3.5	5	25	13	7	4	225
VT0052_0883	8	39	14	29	16	1	3	3	5	3	5	3	5	7	5	1	2	53	22	24.7	24	69	56	11.3	7	20	10	5	1	245
VIR0884	8	40	15	25	14	1	3	3	7	3	5	7	5	1	5	2	1	46	21	11.8	4.1	16	6	1.1	7	24	12	5	1	220
VIR0885	9	41	31	9	16	3	5	5	3	7	3	9	5	7	5	1	1	47	22	7.9	9.9	43	30	6.2	7	23	10	3	10	220
VE0153_0890	7	34	20	23	8	3	7	3	5	7	9	3	3	1	5	2	1	54	23	6.5	13.5	53	75	9.4	7	19	9	3	13	140
VT0053_0896	8	39	40	3	19	2	5	3	5	7	5	3	5	3	7	1	2	70	25	15.2	17.9	40	24	3.8	7	22	12	3	10	240
VT0054_0897	8	35	40	6	8	2	3	5	5	3	3	3	5	7	5	2	1	50	30	7	1.8	9	9	0.9	7	21	11	3	10	190
VIR0900	8	41	14	21	12	3	5	5	3	7	3	9	5	1	5	1	1	40	17	5.9	4.1	40	27	2.9	7	18	8	3	10	125
VIR0905	8	39	22	20	10	1	3	3	5	3	7	5	7	7	7	2	2	60	25	16.3	21.4	58	47	11.6	7	21	10	5	1	245
VIR0906	8	37	18	21	14	3	5	5	3	7	9	9	3	7	7	2	2	60	23	10.5	12.3	74	99	12.4	7	20	10	3	14	165
VIR0914	8	39	21	20	11	2	3	5	3	3	9	5	3	1	5	2	2	56	21	12.2	18.3	62	47	11.3	7	21	10	3	10	215
VIR0915	7	40	30	15	16	2	3	3	5	3	9	7	5	7	5	2	2	60	20	13.4	24.1	66	48	14.5	7	20	10	3	10	255
VIR0917	7	40	30	15	11	3	7	3	5	7	7	9	5	7	7	2	2	50	17	12	19	75	48	11.5	7	20	10	3	10	255
VIR0918	8	39	28	17	18	1	3	3	7	3	7	9	5	7	7	2	2	60	22	11.1	24.6	51	12	6.4	5	26	13	5	1	390
VIR0919	7	40	16	24	13	2	3	5	5	3	9	9	5	7	7	2	2	50	17	14.2	12	46	44	12	7	24	11	3	10	295
VIR0920	8	37	23	18	14	1	3	5	5	3	7	9	5	7	7	2	2	46	19	6	19.3	50	38	11.1	7	22	11	5	1	275
VIR0923	8	39	21	19	13	3	7	5	3	7	5	9	5	7	7	1	1	40	19	3.8	7.2	44	36	4.1	7	16	8	3	10	135
VIR0929	8	39	22	17	13	3	7	5	3	7	5	9	5	7	7	1	1	40	20	4.1	5.2	37	46	5.3	7	20	10	3	10	150
VIR0930	8	37	23	18	11	3	7	5	3	7	5	5	5	1	5	1	1	44	17	6.4	21.4	79	102	14.3	7	20	10	3	11	145
VIR0931	8	36	19	23	14	2	7	5	5	7	7	9	3	7	7	2	1	45	19	5.4	6.6	34	44	6.4	7	19	8	3	10	160
VIR0932	8	36	19	21	14	3	7	5	3	7	5	5	5	1	5	2	1	50	18	4.3	5.5	26	35	3.8	7	19	10	3	10	160
VIR0933	8	35	25	17	15	3	7	5	3	7	5	5	5	1	5	2	1	45	21	7	15.5	58	84	11.7	7	20	10	3	10	170
VIR0934	8	38	29	11	12	3	7	5	3	7	7	9	5	7	5	2	1	38	18	3.7	7.8	41	56	5.8	7	19	9	3	10	115
VIR0935	7	36	20	22	18	3	7	5	5	7	7	9	5	7	5	2	1	50	16	9	15	57	72	10.1	7	20	9	3	10	245
VIR0936	8	35	20	20	13	3	7	5	5	7	7	5	5	1	5	2	2	47	21	5.9	9	41	55	7.8	7	20	10	3	10	145
VIR0940	8	39	28	13	14	2	3	3	5	3	9	5	5	1	5	2	2	60	23	15.3	20	65	52	13.4	7	20	10	3	11	240
VIR0941	7	40	16	19	13	1	3	5	5	3	5	5	5	1	5	2	2	45	18	4.8	8	39	39	5.4	7	19	9	3	10	145
VIR0943	8	40	20	15	18	3	7	3	3	7	3	9	5	1	5	2	1	45	20	3.8	3.1	26	25	3.2	7	17	9	3	10	125
VIR0944	8	37	18	18	11	3	7	3	3	7	3	9	5	1	5	2	1	40	21	2.6	4.1	22	27	2.1	7	20	9	3	10	105
VIR0945	8	40	15	25	14	3	7	5	3	7	5	7	5	1	5	2	1	52	23	13.3	15.2	39	51	10.5	7	22	13	3	10	250
VIR0947	8	39	14	23	14	3	7	5	3	7	5	7	5	1	5	1	1	45	21	5	6.1	33	40	5	7	19	8	3	10	170
VIR0957	8	34	19	22	12	3	7	3	3	7	7	9	5	7	7	2	1	53	26	3.5	9.2	42	56	6.4	7	19	8	3	14	135
VIR0958	8	39	21	21	15	3	7	3	3	7	5	9	5	7	7	1	1	46	17	9.8	17.4	48	98	5.2	7	17	8	3	10	130
VIR0960	8	36	19	23	17	3	7	3	3	7	5	9	5	7	5	2	1	60	21	9	14.3	82	58	8.7	7	20	9	3	10	150
VIR0961	8	36	15	28	14	3	7	3	3	7	7	9	5	7	5	1	1	50	21	8.9	20.4	55	49	13.6	7	22	10	3	10	215
VIR0962	8	39	30	12	13	3	7	3	3	7	9	9	5	7	5	2	2	50	21	5.4	13.4	53	50	10	7	21	10	3	10	215
VIR0963	8	39	21	21	15	2	3	3	5	3	5	9	5	7	5	2	1	60	27	10.8	21.9	53	62	14.9	7	26	11	3	11	205
VIR0965	8	39	16	21	16	3	7	5	3	7	3	9	5	1	5	1	1	32	18	2.3	4	30	17	1.7	7	17	8	3	11	205
VIR0967	7	39	31	10	17	1	3	3	5	3	7	9	5	7	5	2	2	52	22	14.7	15.7	42	44	7.6	7	23	10	5	1	195
VIR0973	8	39	21	22	15	3	7	5	3	7	5	9	5	1	5	2	1	43	16	6.2	11.4	62	64	6.6	7	19	9	3	10	140
VIR0983	8	39	21	22	15	3	7	3	3	7	7	9	3	7	5	2	1	45	17	6.8	17.3	84	105	13	7	20	9	3	10	145
VIR0985	8	40	13	29	16	1	3	3	7	3	9	9	5	7	7	2	2	70	21	31.3	36.4	70	48	21	5	26	12	5	1	410
VIR0990	8	35	25	19	15	3	7	5	3	7	5	9	5	1	5	2	2	50	18	5.3	7.7	45	35	3.7	7	20	8	3	10	90
VIR0991	8	36	19	23	18	3	7	3	3	7	5	9	5	1	5	2	2	40	22	3.6	6.9	31	23	2.7	7	20	9	3	10	160
VIR0992	8	38	17	23	18	3	7	5	3	3	3	9	5	1	5	2	2	40	17	4.2	8.9	42	48	4.8	7	20	9	3	10	110
VIR0994	8	39	22	21	16	3	7	5	3	7	3	9	5	1	5	1	1	40	18	4.2	8.3	44	36	5.1	7	17	8	3	10	140
VIR0999	8	39	21	22	16	3	7	5	3	7	3	9	5	1	5	1	1	36	14	5	5.4	40	35	3.75	7	18	9	3	10	140
VIR1001	8	39	16	23	18	3	7	3	3	7	7	9	5	1	5	2	1	54	18	8.4	11	41	33	6.6	7	19	8	3	10	175
VIR1002	8	39	16	23	18	3	7	3	3	7	3	9	5	1	5	2	1	42	27	3.4	1.4	7	3	0.2	7	18	8	3	10	210
VIR1003	8	39	16	23	18	3	7	3	3	7	3	9	5	1	5	2	1	40	22	3	2.3	8	11	1.1	7	16	8	3	10	120
VIR1005	8	39	16	23	18	3	7	5	3	7	5	7	5	7	5	2	1	40	18	4.1	8.7	57	66	5.7	7	17	7	3	10	105
VIR1007	8	39	21	21	18	3	7	5	3	7	3	9	5	1	5	1	1	32	17	3.2	2.2	19	20	1.7	7	15	8	3	10	120
VIR1008	8	39	21	21	14	3	7	7	5	7	9	7	5	1	5	2	1	70	37	6.8	12.5	38	48	6.6	7	20	10	3	10	155
VIR1009	8	39	16	23	18	3	7	5	3	7	5	7	5	1	5	1	1	40	25	1.9	2.6	19	15	1.2	7	19	8	3	10	170
VIR1010	8	39	21	17	10	3	7	5	3	7	7	7	5	1	5	1	2	40	23	2.9	3.5	29	30	2.6	7	19	9	3	10	100
VIR1011	8	40	15	23	18	3	7	5	3	7	5	7	5	1	5	2	1	34	20	2.5	5.3	28	24	3.7	7	17	7	3	10	140
VIR1012	8	39	22	19	15	3	7	7	5	7	9	7	5	1	5	2	1	55	26	9.1	12.2	48	69	10.5	7	21	7	3	10	160
VIR1013	8	39	21	18	15	3	7	7	3	7	7	7	5	1	5	2	1	50	26	6.3	7	40	50	6	7	21	8	3	10	140
VIR1014	8	36	19	23	17	3	7	5	3	7	5	7	5	1	5	1	1	40	23	3.2	1.7	12	8	0.6	7	18	9	3	10	130
VIR1016	8	35	20	23	17	3	7	5	3	7	3	7	5	1	5	1	1	40	22	3.7	6.5	40	52	4.5	7	19	9	3	10	115
VIR1019	9	40	19	21	17	3	7	3	3	7	3	7	5	1	5	2	2	37	20	2.6	3.9	23	23	6	7	17	7	3	10	140
VE0154_1029	7	36	17	25	10	3	7	3	5	7	7	9	5	7	7	1	1	50	20	5.9	9.2	40	43	5	7	18	9	3	13	140
VIR1032	8	35	20	23	17	3	7	5	3	7	5	5	5	1	5	2	1	30	20	2.8	3.9	23	22	1.8	7	17	10	3	10	135
VIR1033	8	37	23	21	17	3	7	5	3	7	3	7	5	1	5	1	2	45	21	7.8	15.1	76	85	9.4	7	20	9	3	10	135
VIR1039	8	39	16	23	16	3	7	5	3	7	3	7	5	1	5	2	1	42	16	2.7	4.8	25	30	3.1	7	20	9	3	10	140
VIR1171	9	59	13	7	6	1	3	3	5	3	9	9	3	7	7	2	1	60	26	65.7	25	60	54	12.2	7	25	13	5	1	220
VIR1179	8	37	36	8	16	1	3	3	7	3	7	9	3	7	7	2	2	58	21	17.1	31.8	54	44	14.9	7	25	12	5	1	355
VE0155_1210	8	33	20	23	7	3	7	3	5	7	7	9	3	7	5	1	1	53	22	4.8	10.7	36	47	5.7	7	20	10	3	10	165
VE0156_1211	8	33	19	24	8	3	7	5	5	7	9	9	3	7	5	2	1	48	24	4.1	9	32	41	4.7	7	18	8	3	13	140
VIR1214	8	37	23	19	19	2	3	7	5	3	5	7	5	1	5	1	2	60	22	16	23.6	72	82	16	7	20	11	3	11	210
VIR1230	13	44	44	5	7	1	3	3	5	3	7	7	5	1	5	1	1	58	31	18.2	23.3	59	60	16.8	7	21	11	5	1	255
VIR1243	8	44	16	20	16	3	7	7	5	7	9	5	5	1	5	2	2	65	30	42	67.3	54	55	18	7	23	11	3	10	305
VIR1252	8	39	34	8	14	1	3	5	5	3	7	7	5	1	5	1	2	65	29	14.2	14.3	42	45	8.6	7	20	9	5	1	230
VIR1286	8	45	36	8	9	1	3	5	5	3	9	5	5	1	5	1	2	70	26	50.6	30.3	70	68	20.7	7	24	12	3	1	330
VE0157_1404	8	34	19	24	11	3	7	5	5	7	9	5	3	1	5	2	1	55	25	16.4	29.2	94	102	16.1	7	20	10	3	10	165
VE0158_1405	7	34	20	23	11	3	7	5	5	7	9	3	3	1	5	2	1	50	22	5.5	7.2	49	52	5.6	7	19	9	3	10	135
VE0159_1406	8	35	18	23	11	3	7	3	3	7	7	9	3	7	7	1	1	60	20	10.9	35.1	137	168	20	7	22	10	3	10	150
VE0161_1411	7	34	19	23	10	3	7	5	3	7	7	7	3	7	7	1	1	55	20	11	13.8	70	58	5.9	7	21	10	3	13	150
VE0162_1412	7	35	19	23	11	3	5	5	3	7	9	9	5	7	7	1	1	53	21	7.4	19.1	88	96	12.1	7	20	8	3	10	160
VE0163_1413	8	33	20	23	8	3	7	5	3	7	7	9	3	7	7	1	2	55	19	6.9	16.2	68	80	11.7	7	20	9	3	10	180
VE0164_1417	8	39	14	24	12	3	3	5	5	3	9	7	5	5	5	2	2	65	25	22.9	17.9	54	78	17.5	5	25	13	3	10	345
VE0165_1423	8	34	19	23	7	3	7	5	5	7	9	7	5	5	5	1	2	50	23	9.6	13.8	48	52	8.5	7	19	8	3	10	175
VIR1481	8	46	38	3	11	1	3	7	7	3	9	9	5	7	7	2	1	77	30	74.6	29.7	64	44	19.4	5	25	14	5	1	370
VT0055_1558	8	39	14	28	15	1	3	3	7	3	3	3	5	1	5	2	1	63	27	27.3	14.4	47	35	10.9	5	25	13	5	1	300
VE0167_1583	8	34	19	24	11	3	7	3	5	7	5	5	3	5	5	2	2	53	25	6.8	6	25	36	4.9	7	18	9	3	10	160
VE0168_1584	7	34	20	22	12	3	7	3	5	7	9	5	3	5	5	2	2	56	25	5.6	8.7	39	53	6.1	7	18	9	3	11	135
VE0169_1586	8	36	18	23	11	3	7	5	5	7	9	9	5	7	5	1	2	60	21	11	25.8	119	124	17.7	7	20	9	3	11	150
VE0170_2178	9	23	16	19	10	3	7	3	3	7	9	5	5	5	5	1	1	50	18	3.7	13.3	50	56	8.2	7	17	8	3	10	170
VIR2296	9	39	27	1	14	1	3	5	5	3	9	9	5	1	5	1	2	66	27	30.9	42.3	64	53	19.5	5	25	14	5	1	355
VT0056_2340	8	46	10	26	17	1	3	3	5	3	9	3	3	1	5	1	1	75	25	87.6	39.6	77	69	23	7	24	12	3	1	330
VT0057_2341	8	42	10	29	15	1	3	3	5	3	7	5	5	1	5	1	2	75	20	42.2	66.2	113	112	34.9	7	25	11	3	1	310
VT0058_2374	8	39	13	27	12	1	3	3	5	3	3	7	3	7	5	1	1	62	26	34.1	11.4	22	13	3	5	25	14	3	1	270
VT0059_2394	9	38	13	30	15	1	3	3	5	3	3	7	3	1	7	2	1	63	24	34.4	19.4	54	28	8.9	7	23	10	3	1	305
VT0060_2399	9	38	13	30	16	1	3	3	5	3	3	7	7	1	7	2	1	70	25	21.4	34.7	33	17	6.7	5	26	15	3	1	300
VT0061_2412	8	40	12	30	18	1	3	3	5	3	5	7	7	1	5	1	2	71	35	76.2	54	79	75	27.6	7	24	12	3	1	280
VT0062_2413	8	39	13	30	16	1	3	5	5	3	3	7	7	1	5	1	1	55	26	34	9	20	18	4	5	25	14	3	1	340
VT0063_2438	8	36	16	30	17	1	3	7	5	3	5	9	3	1	5	1	2	70	30	45.1	18	60	42	11.3	7	21	11	3	1	280
VT0065_2493	8	37	16	29	17	1	3	3	7	3	5	5	5	1	5	2	1	67	24	69	34.1	72	56	26.2	5	25	12	3	1	380
VE0172_3036	8	39	21	20	11	1	3	5	5	3	7	9	5	7	5	1	2	50	23	13.9	9.2	98	103	19.2	7	22	11	3	1	180
VT0066_3055	8	38	15	29	18	1	3	3	5	3	3	5	5	1	5	2	1	65	30	31.6	22.1	40	27	8.5	7	22	11	3	1	290
VT0068_3083	8	38	16	28	16	1	3	7	5	3	7	5	5	1	5	1	2	90	40	95.3	32.2	79	55	23.7	5	24	13	7	1	380
VT0071_3200	9	37	14	27	16	1	3	3	5	3	5	9	7	7	7	1	1	60	21	28.2	14.8	43	24	5.4	7	24	12	5	1	245
VT0072_3264	8	39	13	27	16	1	3	3	5	3	3	9	7	7	7	1	1	61	27	29	8.3	37	17	5.5	7	22	10	3	1	350
VT0073_3271	8	39	13	31	16	1	3	3	7	3	5	5	7	7	5	2	1	70	20	74.9	40.2	95	48	15.1	5	24	14	3	1	315
VT0075_3273	8	39	14	29	18	1	3	3	7	3	5	9	5	7	5	1	2	65	26	50.3	16.9	39	30	12.6	7	22	13	3	1	390
VT0076_3274	8	39	14	30	17	1	3	3	5	3	5	7	5	7	5	1	2	52	25	38.6	26.1	21	19	5.5	5	25	14	3	1	365
VT0077_3275	8	39	14	30	17	1	3	3	7	3	5	9	5	7	5	2	1	73	28	46.2	16.2	51	48	15.1	7	21	10	3	1	310
VT0078_3293	8	38	15	28	19	1	3	3	7	3	3	9	5	7	5	1	1	70	23	46.1	43	42	29	8	5	26	13	3	1	395
VT0081_3298	8	39	14	29	16	1	3	3	7	3	5	9	5	7	5	1	1	55	23	23.4	26.8	60	58	17.6	5	25	13	3	1	350
VT0083_3428	8	39	14	28	12	1	3	5	5	3	5	7	3	7	5	1	2	52	22	11.1	9.1	29	19	7.5	7	22	12	3	1	255
VT0084_3438	8	39	14	29	7	1	3	3	5	3	5	7	5	7	5	2	1	62	26	32.5	5.7	18	8	6.1	5	23	13	3	1	340
VT0085_3439	8	40	13	28	13	1	3	7	7	3	9	5	5	1	5	1	2	75	43	29.1	24.3	40	37	14.5	7	27	14	3	1	360
VE0173_3461	8	39	21	20	11	1	3	3	5	3	7	9	5	7	5	2	2	53	23	13	20.5	57	67	11.1	7	25	11	5	1	215
VT0088_3462	8	39	14	29	18	1	3	3	5	3	7	9	7	7	7	2	1	57	27	23.8	29.3	39	37	9.1	7	24	12	3	1	205
VT0089_3473	8	39	14	29	18	1	3	3	5	3	7	9	7	7	7	2	1	60	20	35.3	27	58	46	18	5	26	13	3	1	345
VT0091_3516	8	39	14	29	15	1	3	5	5	3	5	9	7	7	7	2	1	62	25	25.6	11	42	26	6.5	7	21	10	3	1	275
VT0092_3517	8	39	14	29	16	1	3	3	5	3	7	9	7	7	7	2	1	60	20	36.3	37.7	88	46	20.7	7	26	12	3	1	385
VT0094_3519	8	39	14	27	14	1	3	1	5	3	5	9	7	7	7	2	1	53	22	21.5	32.9	65	55	22.5	7	22	12	3	1	300
VT0096_3521	9	38	14	30	19	1	3	3	5	3	5	9	7	7	5	2	2	60	20	35.2	29.4	71	42	16.2	7	22	12	3	1	320
VT0098_3529	8	35	19	28	18	1	3	3	5	3	5	9	7	7	5	2	2	61	29	33.3	25.1	52	46	15.9	7	21	11	3	1	355
VT0099_3530	8	38	15	29	18	1	3	3	5	3	5	9	7	7	5	1	2	60	19	30	25.5	62	59	15.1	7	22	11	3	1	245
VT0100_3563	8	47	6	29	19	1	3	3	5	3	7	9	5	7	5	1	2	60	27	64.8	39.4	82	63	32.7	5	25	12	3	1	400
VT0101_3570	8	39	14	29	17	1	3	3	5	3	5	9	5	7	5	1	2	60	17	37.4	25	79	56	18.4	7	24	11	3	1	460
VT0102_3571	8	39	14	27	15	1	3	1	5	3	5	9	5	7	5	2	1	60	17	30.9	94.9	115	86	46.4	5	27	14	3	1	440
VT0103_3572	8	39	14	27	17	1	3	1	5	3	5	9	7	7	7	1	1	51	20	41.7	75.7	111	70	36.2	5	25	12	3	1	465
VE0174_3587	8	39	24	16	12	1	3	7	5	3	9	9	5	7	5	2	2	70	27	40.1	24.7	112	104	29.5	7	20	10	3	1	275
VT0104_3593	9	38	14	27	16	1	3	1	5	3	7	9	7	7	5	1	2	56	20	17.2	13.9	43	29	6.6	7	22	11	3	1	395
