N0 [0.19593522122626247, 0.18934697610688911, -0.23786293494849187, -0.038578876472622051, 0.037597959840877153, -0.311176358410714, 0.078791001697943841, -0.048981224121619656, 0.16349085144725095]
N1 [0.24666126462426879, 0.14692062071660839, -0.19567625712275824, -0.12282489933978874, 0.026393898387659074, -0.34957246149633286, 0.091109042182121597, -0.097444492413958986, 0.15348390311101501]
NKL [0.52918192383425788, 0.51066754068473064, -0.19662781068520621, -0.71703446530965431, -1.448905335605142, -0.37041558094441412, 0.045405774321224612, -0.1319588684614236, -0.021590112559522534]
B19 [-0.295427549912744, 0.50213928060000967, 0.24540824875510103, -0.38564440698182495, -0.29105734954075346, -0.24213007480614349, 0.11877785804074167, 0.11156587906407944, 0.53002607838438531]
N2 [0.28112342903834425, 0.18216631138162429, -0.13278914324986557, -0.17527944194177678, 0.07367942101767215, -0.30975644209603814, 0.16578993178894816, -0.067068104349458632, 0.13178348079529259]
CD4 [0.39896514791562293, 0.14908317604700208, -0.344078089710254, -0.15095460082268058, 0.14133334405584919, -0.16595365111848898, -0.0035070597013006754, 0.047251038124354675, 0.30198554670197686]
CD8 [0.05442575894202907, 0.2691629536043525, -0.35524898888120998, -0.12020045461081665, -0.18201533740179671, -0.17708533936985543, -0.23933421289320791, -0.25595613530197375, -0.030009515926642527]
N3 [0.22099484663683999, 0.16058066563548487, -0.19223310330334636, 0.054341587814171748, 0.1745042138131, -0.28631482917441142, 0.079586340680897955, -0.034359035951128193, 0.11244505911942664]
NEU [-0.13091081652723857, 1.2574538884093742, -0.13580496209519127, 0.28242082207549712, -0.5055716871054996, -0.26813533802132555, 0.13409186511100873, -0.42523655308720915, 0.17721011172540099]
MON [0.18981893001855799, 0.27443387951122278, 0.41916057155057401, 0.15043610740805302, -0.21575254637699884, -0.24525035393729155, -0.58574887466070236, 0.047265368247134856, 0.21409402922376986]
MRF [0.056726253992992651, 0.34984511112465816, -0.16567608523161448, 0.21104962136615901, -0.21164220594034117, 0.066598247450846942, -0.11415516215641178, 0.44673463660631801, 0.43988435425427286]
DEN [0.065372009465299752, 0.26116992222007973, -0.21963220789233429, 0.059405104085642785, -0.2189361141445679, 0.014886469820093701, -0.1462022018312312, 0.15015981273792164, 0.3767666125253078]
